hand_presence_ratio,hand_present_frames,displacement_mm,velocity_mean,velocity_std,velocity_max,acceleration_mean,direction_consistency,position_x_mean,position_y_mean,position_z_mean,position_std,grab_mean,grab_max,pinch_mean,pinch_max,finger_mean,finger_std,label,source_file
1.0,110,45.92613250644628,82.80296270990382,82.94699313222699,290.9782238788194,5.88232170646926,0.9910238189985482,-111.41028275923296,170.33888438831676,33.643378223072396,7.232932865114274,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,142.2287994979521,247.699034626992,166.92668573209505,578.4725102386524,22.211698237326587,0.9817080442654855,-98.97016365744851,195.28716735839845,29.609573445807804,25.78475792674963,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,172.81370164600256,316.7727836127563,115.21385081470383,578.4725102386524,30.981226506616206,0.9849765758284367,-141.87658046375623,264.33373149525033,16.962550158697095,43.391966097309705,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
0.6545454545454545,72,188.66172860350042,425.46975722574047,327.48494194900536,1362.5491447637094,84.56503878615081,0.9607674236227182,-174.35950385199652,182.77795696258545,45.77442265881432,41.809533405559705,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
1.0,110,150.53154719475543,196.0463952318768,253.48635705159245,1200.378548477006,25.295693848183948,0.9836143029905152,-131.31126237349076,213.30456376509233,50.443505720658735,18.44920309486774,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
1.0,110,20.361340924857952,44.843831245238846,21.29007309938486,97.93972431569037,5.312388545936219,0.9831372552767405,-115.02793912020597,223.38573733243075,51.906978433782406,4.107208250150272,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
1.0,110,18.11560990829867,41.07931076891713,13.0032246318037,70.76844837649986,4.345966458779366,0.9889383825406409,-116.8185365156694,227.32252072420988,60.55849200162021,4.331162486821425,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
1.0,110,19.701543623849528,38.65813736915164,15.30350032832846,81.55734379332407,4.708743113689414,0.9675601171985463,-124.50278056751598,231.0235053322532,64.46144603382457,3.8334540930218233,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
1.0,110,5.271943818576443,39.313984867026136,15.175522183287208,81.55734379332407,4.1796624355377485,0.9686577881309594,-129.6499712857333,231.70753742564807,64.3427636233243,2.6536854409664365,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
1.0,110,11.401662177135977,26.332070572137386,11.97142134588107,49.94581697701296,2.6364726040205473,0.9779924873676655,-127.53463564786044,228.5566042813388,64.39444077231667,2.577648522625483,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
1.0,110,13.514843910240328,19.299046466894314,7.5200308951849255,36.33434341308793,2.1541504035519967,0.9785742565835687,-124.0759730945934,227.27043734463777,68.80599961714312,2.7236359372072876,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
1.0,110,12.661238917444244,18.220922943095395,7.07728507100185,33.727681512183224,2.29022348222227,0.9758571225477879,-123.48415423306552,230.90111902410334,74.99049765846947,2.1733348520599614,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
1.0,110,2.1739587647225616,16.66579534085609,6.070646379822587,35.256543253198565,2.2733219590833356,0.965781382470531,-125.65191643454811,233.02274211536755,76.84834788929332,1.2081534423868827,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
1.0,110,7.984442740453394,16.4823663267546,5.6821467454951655,35.256543253198565,2.200432391771362,0.9689038252236185,-124.64436118386008,231.73652135675604,78.204586167769,2.0515155221619525,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
1.0,110,13.029755435718597,16.68478227399518,7.045889062638368,35.395411619200424,2.219829825520689,0.9725847590893939,-121.1752817327326,230.77818367697975,83.05872580788352,2.0750027121840677,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
1.0,110,16.157348956253063,19.467492353715414,7.422975881413645,39.13762330545928,2.5772878399063126,0.978183523908346,-118.97415986494585,232.43811714865944,89.89296555952592,2.3001999541983063,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182127.json
